States,Foss,STEMScopes,AmplifyScience,Tynker,Minecraft,STEMFuse,TechTerraEdducation,AllOtherNGSSCurriculum,SAMLabs,StrawBees,Arduino,AmplifyScience,Ozobot,MakeyMakey,Dremel,BBCmicrobit,Edison,UBTech,Engino,MicrosoftHololens,ClassVR,Prusa,PiTop,KinderlabRobotics,XYZPrinting,Makeblock,Bloxels,Robo3D,HTCVive,Kano,Oculus,Glowforge,Cubelets,BirdbrainTechnology,LulzBot,BeeBots,RaspberryPi,Sparkfun,KNex,SnapCircuits,Ultimaker,Wonderworkshop,Littlebits,Sphero,ZSpace,PascoScientific,Makerbot,Pitsco,Vernier,LEGOEducation,Vex,TOTAL,StudentPopulation
Missouri,"80,653","56,529.36",390907,62896.8,114482.16,1498,169.44,2450000,1968,4513,39392.62,357419,"100,217.13",55937.81,124607,3244.18,10225.27,149.95,2076.39,0,34757.97,13461.23,0,3672.43,870.53,7219.39,47425.81,9691,7224,1451,10281,65428,64229,33784,93853,42420.88,42124,21761,152454,114915,105453,69130,199643,293414,547129,478634,561643.99,943004,2970000,1850000,3020000,12504824.58,913441
Montana,"2,514.70",527,141555,8850,4077.05,0,0,4900000,0,494.2,3432.89,141555.04,"10,638.74",5054.5,4587.41,0,369,3099.71,0,0,0,3359.07,0,251.9,0,786.38*,800,0,2356.76,369.01,0,2594,2747.58,0,15103,2446.55,7346,4865,4406,4078,0,967,9686,21641,69996,13258,97946.99,76346,295553,204103,428100,1437551.35,148844
Nebraska,"65,634.10","529,064.55",1650000,4740*,8894.58,16588.6,0,938109,0,3689,21765.41,"$1,219,899","27,394.72",40440.91,80840,8630.85,4518,0,1671.69,20997,0,16644.57,0,0,1455.15,5871.54,10366.8,54,800,1016,5339.88,22468,24259,3247,120,16774,13599,49929,31442,34836,87862,179028,67678,118208,194907,201183,398686.75,1200000,1000000,362459,1480000,6958080.27,326392
Nevada,"24,698.94","12,500",322389,23993.72,9995.33,12842.74,575.1,363843,0,35.99,10434.49,77430,"10,736.83",20588.69,57057,394.8,0,484.9,738.42,0,0,1498,0,23853,1480.54,1708.42,29.25,4995,499,5590,0,6688,18800.76,6785,39406,4953.78,41701,11728,27407,26435,58863,26475,69877,148797,2310000,91962,135853.52,131080,248781,435934,2000000,6059081.39,498614
New Hampshire,286.46,0,0,1400,3459.58,1499,0,113460,0,0,3703.34,0,"4,883.97",3308.42,11241,0,671.59,0,44.1,0,0,0,0,480.9,0,0,0,0,800,169.98,0,0,0,488,0,6566.86,6656,5989,5690,3931,5919,7731,5667,6570,51190,12284,68663.47,69185,143036,106570,134528,665967.63,178515
New Jersey,"211,745.01","221,643.48",270170,104561.39,130452.29,20712,0,5850000,12900,6400.2,280685.9,258873,"133,945.02",115645.07,140970,1650.49,7271.17,3931,9039.19,12000,0,40593.74,15091.38,20350.57,39351.76,15837.84*,14801.19,17046,12567,24804,31856,50187,147850,37112,300732,47021,83371,151341,325055,133748,168322,232870,570960,332839,424972,1770000,1900000,3370000,2570000,3480000,1840000,19136152.68,1400069
New Mexico,"6,364.25","334,359.96",1180000,18078.9,7924.19*,1497.99,0,2860000,572.47,1634.19,22167.27,81590,"35,413.34",8112.41,43906,1180.6,3741,259.51,2142.41,0,0,8991.54,622.71,5809.9,3049.69,7864.99,4190.57,3099,0,3291,837,36356,13601,600,23616,1070.8,18920,27072,59319,30701,19912,20734,52269,19359,887116,46591,387803.9,342642,391629,889540,625043,4132370.3,333537
New York,"182,102.59","178,056.10",1940000,328410.69,88589.37,20846.85,266,7900000,10815,13004,348377.95,72927,"224,797.68",338420.51,331673,6013.8,50811.55,19953.93,9008.15,5000,10264,63022.58,16419.12,39666.42,18747.75,36537.75,52243.69,11757,48047,29124,63164,226453,268674,176762,456812,302133,221450,258558,409567,144739,409377,602954,983579,782326,5760000,1420000,3470000,3450000,3130000,4810000,6360000,35463179.88,2700833
North Carolina,"15,757.22","429,895.22",6001,16149,10027.79,0,2849.05,368307,3172,25570.86,55222.93,6001.41,"66,958.98",159372.96,80334,7121.61,2491.06,825.18,9997.58,3000,5318.25,7026.49,1877.99,0,4218.05,9515.35,19659.74,47025,3816,40011,59222,102111,44676,33251,20043,48682,49469,50844,250392,86561,106295,128867,461593,816007,311418,217452,1150000,4910000,1280000,2230000,2040000,14955419.44,1552497
North Dakota,"14,591.30",0,0,399,2865.56,499,0,337031,0,40,6420.79,0,"11,410.24",16006.55,22468.86,990,254.76,39.94,690.09,0,0,0,0,0,0,-662.66,5242.42,0,0,1384,36274,0,2752,3115,0,8343,3744,3338,23419,9208,0,31285,55694,85143,36985,6647,225383.56,280049,255459,454130,501698,2086951.55,113845
